business_id|name|address|city|postal_code|latitude|longitude|phone_number|TaxCode|business_certificate|application_date|owner_name|owner_address|owner_city|owner_state|owner_zip
141|AFC SUSHI @ MOLLIE STONE'S 2|2435 CALIFORNIA St |S.F.|94115|37.788773|-122.434697||H24|467295|8/20/2002|ADVANCED FRESH CONCEPTS CORP.|2435 CALIFORNIA St|S.F.|CA|94115
146|DEJA VU PIZZA & PASTA|3227 16th St |SF|94103|37.764713|-122.424709|14155251600|H24|||Kyi, Aung|3227  16th St.|SF|CA|94103
151|BUS STOP PIZZA #1|256 Divisadero St |SF|94117|37.771487|-122.437047|14155629119|H24|||Sambath Heng||||
155|CAFE COLE|609 Cole St |SF|94117|37.769303|-122.450724|14155667771|H24|||ABU-ALI, ISAM|609 COLE|SF|CA|94117
164|San Francisco Soup Co|50 Post St, 3rd Floor|San Francisco|94104|37.789064|-122.402861||H24|358709||San Francisco Soup Company LLC|50 Post St, 3rd Floor|San Francisco|CA|94104
178|C & Y Cafe|400 California St  3rd Floor|San Francisco|94104|37.793128|-122.401395||H24|361435||Yan Situ|400 California St  3rd Floor|San Francisco|CA|94104
179|SECRET GARDEN TEA HOUSE|721 LINCOLN Way |SF|94122|37.765933|-122.465809|14155812403|H24|363874||LEUNG, ANNIE|721 LINCOLN Way|SF|CA|94122
180|NENAS RESTAURANT|3459 MISSION St |SF|94110|37.74146|-122.422484|14155288985|H24|452950||LEMUS, ANA|3459  MISSION St|SF|CA|94110
184|RADIO HAVANA|1109 VALENCIA St|SF|94110|37.755124|-122.420916|14155827659|H24|341342||NAVARRETE, VICTOR|1109  VALENCIA St|SF|CA|94110
187|TAZA WRAPS & JUICE|750 FONT, BLDG B Blvd |SF|94132|37.723054|-122.483612|14155374525|H24|336313||FEDA CORPORATION|750 FONT, BLDG B Blvd|SF|CA|94132
